Benefit per order,Sales per customer,Latitude,Longitude,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Price,Product Status,is_holiday_window,is_weekend_order,Shipping_mode_risk,customer_total_orders,customer_late_rate,customer_avg_delay_gap,Price Tier,Market_encoded,Order Region_encoded,Customer Segment_encoded,Department Name_encoded,Shipping Mode_encoded,Type_encoded,Order Status_encoded
0.023521204,-0.008915319,-0.10644622,0.051627837,0.019929703,0.03277904,0.0052557453,0.1300626,0.0012071611,0.0006756018,0.0025184832,0.0016898327,-0.0011477659,0.0,0.0009511529,-0.0009171454,-0.6296033,-0.0036544076,0.023383511,-0.026405966,0.0,0.03483276,-0.074618526,0.012855825,0.003109565,-0.12633659,0.02752205,0.044237323
0.012438469,-0.008494098,-0.061444886,0.0033411,0.09479267,-0.03775352,0.02064395,0.04795874,-0.0030204344,-0.0011700498,-0.009159012,-0.017531713,0.00038162537,0.0,0.0004471494,-0.0017800209,-0.6291379,-0.027624106,0.02147804,-0.029602943,0.0,0.015552416,-0.053204536,0.010128209,-0.0039495677,-0.12608244,0.009565711,0.048764713
0.03765797,-0.007527842,-0.10967699,-0.016422367,-0.01879041,0.008684746,0.0015267775,-0.02843485,0.0012691808,0.000644506,0.002823076,-0.00684401,-0.004863561,0.0,0.0005286842,0.0037757165,-0.6298118,-0.01220917,0.013534322,-0.02508431,0.0,0.011038342,-0.08007362,0.0130551,0.0033052713,-0.12675926,0.008804333,0.023713378
-0.0062575787,0.07101261,-0.107152164,-0.008285044,-0.017467191,-0.023155876,0.0051560965,-0.030563183,0.0026493834,-0.038903363,0.011233252,-0.0039748987,-0.0016682157,0.0,0.00053246133,-0.0029102068,-0.6315937,-0.041057155,0.009518574,-0.03052382,0.0,0.010618472,-0.06811207,0.013653645,-0.00030854787,-0.12628399,0.0116589125,0.025740266
0.019570459,-0.003105469,-0.015318418,-0.042367812,0.010991757,0.045034092,-0.0032577417,-0.013973675,-0.0072011407,-7.323106e-05,-0.0054891775,0.0045412686,0.0056691086,0.0,0.0025946046,0.018184273,-0.35653877,-0.0056200237,-0.086369,-0.0058965124,0.0,0.0033288358,0.0292531,-0.003075857,-0.002841765,-0.085952476,0.0056476956,-6.9398785
0.026803225,-0.010535964,-0.08125798,-0.0077756178,0.050498083,-0.021800494,-5.848211e-05,-0.010306754,0.0116526205,-0.0022001164,-0.00023262762,-0.0033874016,0.0017557928,0.0,-0.014708412,-0.025746178,-0.64042187,0.12345785,-0.06798162,-0.0049763415,0.0,-0.016157467,0.027494594,0.007620984,-0.009942535,-0.12459551,-0.0056974073,0.081545234
-0.015393803,-0.010565933,-0.112927794,0.0018455568,-0.026003225,0.014847236,-0.01449654,-0.014327741,-0.0065595102,0.0090970155,-0.0061163683,0.00033883352,-0.0019228264,0.0,-0.015492986,-0.021540413,-0.64370096,0.15373006,-0.077121146,-0.0039186752,0.0,-0.010671467,0.016752854,0.0038777974,-0.0016267431,-0.12710695,-0.002765086,0.07481469
-0.027332067,0.016322738,-0.013378154,-0.0010541886,-0.028966198,0.11827876,0.012689315,-0.008730071,0.009995887,0.013954537,0.00068370183,0.0071459073,-0.0006911633,0.0,-0.015427013,-0.02260977,-0.63733894,0.13541692,-0.041627377,-0.02631212,0.0,-0.010072019,0.027632473,0.007472859,0.016849818,-0.1301028,-0.0053015584,0.083910204
0.010259537,-0.007457807,-0.0919923,-0.011468251,-0.025538268,0.013484019,-0.004153814,0.00035833244,-0.007516122,0.008840792,0.0022027644,-0.0034673559,-0.002620458,0.0,-0.014471895,-0.026128175,-0.64370286,0.14198577,-0.07321442,-0.009788162,0.0,-0.012860052,0.0125623625,0.004196688,-0.0010760842,-0.12652099,-0.009253755,0.08296532
0.015581507,-0.010399156,-0.03378782,-0.09072451,-0.064304344,0.0033966352,-0.009745876,-0.008158533,-0.0029254218,-0.021331288,0.013907872,-0.0016154516,-0.00072706,0.0,0.0034758954,0.0018748357,-0.6907677,-0.01647593,0.50257534,-0.06721342,0.0,0.0103444755,-0.012567157,-0.00046691077,-0.0045498256,-0.1376261,-0.0006586443,0.050721522
